,내용,등록일
751,안녕하세요강화유리 구매계기는직업이 기계를 만드는일이라 딱딱한소재와 가까이하고있어 나름대로 폰을 조심히 다룬다고했는데 그만 낙하하는 쇠붙이와 액정이 충돌하여 부착되어있던 필름이 찢어지는 상황이 생겼네요다행히 파손이나 기스는 없었으나이번 고릴라빅터스대박인듯 또 비슷한 상황이 생길거같아 강화유리를 알아보게 되었습니다지금 시중에 나와있는 제품들은 대부분 액체를 이용하여 부착하는데이게 액체가 버튼사이 혹은 액정틈사이 들어가서 굳어지면 문제가 생길수도있고 지문인식이 잘 안된다는 후기를보고 액체형 강화유리를 배제하였습니다그렇다고 다시 정품필름을 하자니 내구성이 걱정이고보험들었으니 그냥쓸까도 했지만 성격상 그것도안되겠고나름대로 알아보던중 눈에띈게 에서나온 5D강화유리 제품이었습니다이것도 후기글을 보니까 부착은 쉽지만 지문인식에대한 문제점이 거론되어 구매를 망설였는데가격도 나름 저렴해서 일단 사보기로했죠제품을 받아보고 반신반의하며 제공해주는 부착틀을 이용해 부착하였습니다여기서 주의할점이 지문인식 부분만 좀 다르게 되어있는데 지문인식률을 높이기위해 따로 처리를한거 같았고 그부분만 부착이 가능하도록 만들어서 이부분이 잘 붙여줘야 합니다붙이고나서 보니까 지문인식부만 동그랑형태로 존재감이 보이는데크게 거슬릴정도는 아니더라구요 뭐 예민한분들은 신경쓰일수있겠지만반대로 지문인식위치를 한번에 알수있어서 장점이되는 부분도 있다고 봅니다다행이 우려와는 다르게 지문인식 잘 되어서 놀랐습니다가끔 오락가락하긴하지만 판매처 설명란에는 24시간후에 다시 지문등록을 하라고 설명을 하더군요 여튼 붙이고나서 나름 만족하여 공유차 후기글에 글을 남깁니다세줄요약1액체를 사용하지않아 붙이기쉽다2지문인식이 잘 되도록 처리가 되어있다3판매처에서 제공하는 영상대로 붙이면 만족할것이다  ,2020.09.30. 23:17
752,화이트로장만햇네요카메라실물보고 깜놀 엄청크더라구요120Hz 엄청부드럽고좋으네요 개통하고 달사진 바로 찍어봄 사진진짜신기하네요50배줌 찍을때손엄청떨리던데 핸드폰무게때문인가봄,2020.09.30. 20:51
753,삼성 임직원 혜택으로 50만원 할인하길래 바꿨습니다노트8 보상으로 278만원 나올거 같아서요50만원 할인에 삼성카드 일시불할인 5만원 기존폰 반납 까지 하면선택약정도 있으니 나쁘지 않게 산거 같아요 근데 사기 전부터 고민 많이 했어요일단 펜이 오른쪽으로 간거와 카툭튀가 넘 심해서 하지만 ap랑 120 주사율이 넘 좋아서 강행했습니다셀카 함 찍어보니 전면카메라는 별루인거 같습니다케이스 두꺼운거 찾아 껴서 후면 카메라 메꿔야 할듯 싶어요카메라 필름도 쿠팡으로 바로 받아 붙였습니다카메라 보호에 신경 쓰이네요  그래도 주사율높으니 화면 보는 맛이 있네요덕분에 배터리 조루 노트8도 아직 쓸만했지만 바꾼건 후회되지는 않네요,2020.09.30. 09:46
754,갤럭시 노트 20 울트라 브론즈 색상 사용 중인데요기존에 링케퓨전 ESR 아이스 쉴드 투명케이스 사용 중에 링케퓨전은 디자인이 마음에 안들고 아이스 쉴드는 한 달 쯤 사용하니 TPU의 단점인 변색이 심하더라고요 케이스 착용 상태로 보면 거의 금빛 느낌이 납니다 그래서 유튜버가 제작한 케이스로 넘어왔는데 무게도 가볍고 통 PC 재질이라 생 폰 느낌 제대로네요 품질은 100 완벽하다는 아니고 95정도 되는 것 같습니다얇고 가벼워서 실수로 떨어뜨리면 보호가 안되겠지만 그립감이 너무 좋아서 한동안 조심히 써봐야겠어요,2020.09.30. 02:02
755,노트20 25만원      폰 중고보상 10 5g노트20  울트라 60만    폰 중고보상 노트8이렇게  구입했네요  중고보상  확실히 많이 주네요,2020.09.29. 19:31
756,9월 개통 혜택 받는게 이득일거 같아 얼른 개통했네요첫 인상은 생각보다 가볍네 였습니다 200g 정도라고 해서 엄청 무거울줄 알았는데 생각보다 그렇진 않더라구요또 120hz 주사율 정말 마음에 듭니다 부드러움이 체감이 되네여색생도 브론즈 너무 마음에 듭니다,2020.09.28. 22:38
757,브론즈와 화이트 두 색상 놓고두가지 모두 넘나 매력 넘쳐서끝끝내 결정을 못하고화이트 2박3일 투고 서비스 받아서 사용해보고브론즈 2박3일 투고 서비스 받아서 사용해 봤지만결정 못하는건 마찬가지결국 단점 조금 걸리는부분이 있는 아이를 선택하지 않는 방법을 택했어요카툭튀라 투명케이스든 뭐든 케이스를 씌우고 써야할수 밖에 없는 노트20울트라의 특성상 쌩폰일때의 무광 매력이 뿜어져 나오는 브론즈 컬러인데투명케이스를 씌우는 순간 무광이 유광으로 바뀌면서 특유의 매력이 사라진다는것이 마음에 좀 걸렸고또 한가지 펜과 바디의 재질이 다르다보니 펜 색상이 DDong색 황동색이라는 점이 두가지가 내내 걸려서결국 화이트로 결정했어요s8128g 모델 쓰다가3년만에 바꾼폰인데다른부분은 크게 달라진것 못느끼겠고120hz와 야간 촬영 부분에서 확 달라진게 느껴지네요그리고 질문이요화질 선명도 면에서는 기존 s8 화면이 훨씬 더 선명하고 진한것 같은데왜이런거죠노트20U 전체적으로 흐릿한것 같은데어떻게 조절해야 하나요,2020.09.28. 21:46
758,이번년도 7월에 S10 플러스 구매해서 2개월 쓰다가 노트20 그린 색상이 이뻐서 삼성디프에서 자급제로 샀어요그동안 계속 카페에 들어와서 노트20 기본모델이 울트라에 비해 너무 안좋게 나왔다는 말을 듣고 망설이다가 그냥 질렀습니다아직 몇시간 밖에 안되서 잘은 모르겠지만 색상도 이쁜거 같고 전체적으로 괜찮아보이네요체크카드로 결제 해서 별다른 할인 없이 산게 좀 아쉽긴 하네요기존에 사용하던 S10 플러스는 그자리에서 민팃으로 조회 했더니 S등급 나와서 471000원에 판매 했습니다여기서 궁금한점이 밀레니엄 할인 10만원에 대해 여쭤보니 삼성카드로 결제시에만 현금으로 10만원이 들어오고 나머지 카드 결제시에는 10월 중순쯤에 10만 포인트액세사리 구매가능로 들어온다는데 정말인가요 그리고 구매 3일후10월 1일에 삼성멤버스 9월 구매자 10만포인트로 악세서리 살수 있는거 3일후면 10월로 넘어가는데 상관없이 받을수 있을까요,2020.09.28. 20:41
759,아주 죽여요 50m에서도 리모컨 되더라고요  짱임,2020.09.28. 13:36
760,와이프께서 생일선물로 노울이 사준대서 제가 사실 그전부터 노래를 부르긴 했는데 진짜 사줄줄은 꿈에도 생각못했네요 암튼 조카 통해서 밀레니엄 할인받으려하다가 기다리기 좀 그래서 본점으로 달려갔었습니다 와이프랑 큰딸은 포토존에서 노는 사이에 디프직원통해서 노울이를 영접했습니다 다행히 양품이네요그런데 할인혜택이 다 다르네요 여기는 포인트캐쉬백뿐이네요 삼카 5할인 말씀드리니 전혀 모르는것 같더라구요 사은품도 전혀 없고 디플 디스플레이파손 50지원도 전혀 언급이 없어서 그냥 나왔는데 이걸 고객이 알아서 챙겨야 하는지 알수가 없네요,2020.09.28. 08:18
761,t안심 들어가서 2일에 한번식 설정하고 기다려 봤는데자동재시작은 안되는거 같아서다시보니 충전시에만 작동되게 되 있었습니다충전이 아닐시엔 t안심은 무용지물 이네요,2020.09.27. 11:01
762,저도 한번 땡겨봤습니다이렇게 찍으면 되는건가요추석날 보름달을  기다려봅니다,2020.09.26. 20:58
763,120Hz 굉장히 만족하면서 쓰고 있습니다 다시는 60Hz로 내녀오지 못할 것 같네요 그런데 두 개의 배터리 효율 차이가 많이 나나요 지금도 만족하면서 쓰고 있어서 괜히 60으로 내려왔다가 아쉬움이 남을까봐 못 내려 가고 있네요,2020.09.26. 15:03
764,s9쓰다가 노트20울트라로 왔을때장점 120Hz 펜 반응속도 필기감 카메라 품질단점 스피커 음질 어정쩡한 5배줌 카툭튀하지만 장점의 비중이 개인적으로 크기에 아주 만족하면서 사용중입니다,2020.09.26. 15:00
765,안녕하세요 오늘 드디어 디지털프라자에 가서 자급제 노울이를 데려왔습니다 일단 전 충주였구요제 담당 직원분도 너무 친절하게 하나하나 자세히 잘 알려주셨어요혜택을 사전에 많이 알아보고 가서 대부분 알고 있는 내용이였는데 끝까지 잘 설명 들었습니다노트9 쓰고 있었고 보상판매하면 450000원 들어올 것 같고밀레니엄 100000원 삼카5퍼할인 삼케플 1년권  이 혜택으로 구매했네요요즘 불량이슈가 하도 많아서 현장에서 검수한다고 하니까 칼 주시면서 보시고 문제있으면 윗층 센터가서 교품증받아오면 바로 새재품 주시겠다고 하셨네요다행히 뽑기운이 좋아서 양품 걸렸습니다9월 21일 제조일자였어요먼지 유격 하나도 없고  녹조한지현상 없었고 완전 다행이였네요다른 분들도 모두 양품 뽑으시길 바랄게요ps 120hz는혁명역체감 오지네요,2020.09.26. 05:00
766,이틀 동안 찍어봤는데큰 노하우는 없이 흔들림 없게 지지할 곳만 있으면망원에서 50배로 잘 맞추면 될 것 같습니다httpsyoutubePsBJP7o5zUs 물론 삼각대가 있으면 좋겠지만마음먹지 않으면 삼각대를 들고 다니는 것이 쉬운 일은 아니지요24일에 찍은 사진 갤러리에서 보정 25일에 찍은 사진 갤러리에서 보정  배가 약간 나왔네요 ,2020.09.26. 02:38
767,1 통화중 녹음  많은분들이 공감하실 아이폰의 통화중 녹음기능 업무상 통화녹음이 필요해 기변하게되었네요2 화면분할  이번 ios 업뎃에서 pip 기능이 나와서 며칠 좋다가 말았습니다만 분할기능 어플 쓸때는 역시 편하네요3 덱스  가장 유용하게 사용하는 기능입니다 역시 업무상 문자메세지 발송할일이나 확인할일이 많았는데 빼먹지 않고 대처가능하네요게임 노가다도 pc화면으로 돌리면되서 참 편하구요4 빅스비루틴  유튭 자동회전 기능 넣어놓으니 역시 편합니다여지껏 아이폰이 가장 편하다고 생각해서 xs 구입했었는데 역시 저는 안드로이드쪽이 더 유용한거 같네요,2020.09.24. 11:43
768,예전에 큰맘먹고 큰 거 한 번 써보겠다고 노트7 사전예약했다가배터리폭탄 이슈로 사전예약 취소하고 쭉 갤럭시 모델만 쓰다가이번에 드디어 노트20을 자급제로 샀습니다LTE 요금제 가족모아 때문에 5G로 강제기변시키는 통신사 기변은 이용할 수가 없었습니다S8 중고기기 민팃특별보상 가격까지 포함하면 59만원에 구매한 셈이네요중고기기 값 제외하면 83만원에 구매했습니다우선 기기가 커져서 좀 적응이 안 되긴 하지만 끝내주네요 폰 게임은 아이폰 6S 공기계로도 어지간한건 다 커버가 되어서 노트로는 게임할 일이 없어 굳이 40만원 가량 더 주고 울트라까지 갈 이유는 없었네요다음달이면 온가족할인 30도 적용되고 선택약정 25까지 받으니 자급제가 장기적으론 훨씬이득인 것 같습니다,2020.09.24. 08:17
769,하도 카메라 이슈가 많이 돌기도 하고누군 괜찮다 누군 심각하다 말이 너무 많아서그냥 디플 찾아가서 하나씩 비교 해봤어요폐 안되게 아침 일찍가서 s20  노트20u  노트8 혼자 붙잡고 테스트 했네요전문적인 비교가 아닌 개인이 촬영해 눈으로 비교한 테스트이니 참고 정도만 해주세요 디프 직원 말로는 전시 상품은 베타 버전이라 카메라 업데이트가 안되어있다라고 합니다1 실내  중 장거리 1배 촬영 약 515m 구간노트8이 가장 깔끔하게 표현됐습니다꽤 밝았는데도 조도가 부족했는지 108mp 64mp는 아주 심하게 노이즈가 껴서 써먹을 수가 없는 사진이 나왔고12mp는 노트8 12mp보다 화질 열화가 심하고 디테일이 뭉게지기에 확인하니노트8 약 253mb 노트20u s20 약 1722mb로 파일 용량 차이가 많이 나네요   노트8 승2 실내  먼거리 2배 촬영역시 2배율 렌즈가 달려있어서 그런가 노트8이 가장 선명합니다이건 노트8이 압도적으로 잘나오네요 노트8 완승3 실내  근거리 문서 1배 촬영 약 20cm 40cm 60cm노트8은 포커스가 나간 부분 찾기가 힘들었고 세세한 재질 디테일까지 잘 표현 됐습니다20도 잘나올거라 생각했는데 노트20u와 마찬가지로 포커스된 딱 그 위치를 제외하고 글자가 흐리게 번져서 나오고 디테일이 다 뭉게져서 죽어버리는 결과가 나오네요그나마 108mp 64mp가 부분적으로 디테일이 살아났지만 여전했습니다 노트8 승4 실내  근거리 피사체 12배 촬영 약 6080cm 디프 전시 소형 에펠탑 포커스1배 촬영 시 앞선 결과와 다르게 노트20u 108mp가 가장 디테일이 잘 표현됐습니다다만 노이즈가 꽤 많이 껴서 좋은 인상을 주진 않았습니다20 역시 무난하게 괜찮은 사진이 나왔으나 노트8은 디테일이 뭉게졌고2배 촬영 시에는 반대로 노트8이 가장 선명하게 나왔습니다 1배 노트20u 2배 노트8 승5 실내에서 실외  중거리 1배 촬영 약 510m 구간밝기가 확보되서인지 노트20u 108mp 모드가 가장 선명하게 찍혔습니다자연광이 확보되니 화소수 대로 화질이 좋게 나오네요이 부분에선 노트8이 가장 화질이 떨어졌습니다 노트20u 완승S20U 비교 추가S20U 108mp 노트8 12mp 촬영  S20U 12mp는 퀄이 너무 떨어져 비교 의미 X6 야간 주황 조명 실내  근거리 음식 1배 촬영 약 5080cm색감은 확실히 s20u가 맛깔나게 보였습니다만 심도의 문제인지 포커스 잡힌 빵이나 스테이크의 가운데를 제외한 주변이 날아가버려 중심부는 강조되나 음식의 테두리와 옆의 다른 음식과 식기가 블러로 날아가버려 주변까지 깔끔하게 찍는 건 불가능 했습니다노트8은 그냥 전체를 깔끔하게 스냅샷 찍듯이 뽑아주었고 선예도가 조금 떨어지는 것 말고는 사진 퀄리티에 딱히 불만을 느낄만한 요소는 없었습니다테이블에 여러 글자가 쓰인 용지를 놓고 찍었을 때도 s20u는 초점과 상관없이 전체적으로 번짐이 발생했으며 노트8은 선명하게 촬영 되었습니다 노트8 승7 야간 주황 조명 어두운 실내  중거리 1배 촬영 약 34미터 천장 조명 포커스마찬가지로 조명의 내부까지 표현되는 퀄리티는 S20U가 우세했으나 조금 더 어두운 쪽의 벽면 노이즈가 아주 심하게 발생하는 등 단점이 명확했습니다 양쪽의 장단으로 동점 선명도 S20U 승  노이즈 색감 노트8 승8 야간 실외  장거리 1배 촬영 약 70미터 불이 꺼진 건물과 간판 포커스두 기종 다 사진에 큰 차이가 없었으며 S20U는 야간 모드로 자동 전환됐으나 셔터 스피드에 변화는 딱히 없었던지라 결과물은 비슷했습니다다만 확대했을 때 간판의 글자가 조금 더 구분하기 쉬웠습니다 S20U 승9 야간 실외  초장거리 1배 촬영 약 180미터 불이 켜진 LED 간판 포커스이 부분도 의외로 두 기종이 큰 차이가 없었습니다확대해보면 노트8은 간판의 글자를 알아보기 힘든 반면 S20U는 얼추 구분은 가능한 정도까진 나왔습니다 S20U 승저는 배율은 써봐야 2배에 기본적으로 1배 촬영을 하는지라 고배율은 염두하지 않고 찍어봤어요매장 가서 비교해 본 바로는 정말 이번 시리즈 너무 실망스러운 거 같습니다그렇게 카메라 광고 해대더니 한참 전 기종인 노트8이랑 비교당하고도 밀리는 상황을 보여주니이게 이 가격주고 살 제품이 맞나 생각이 듭니다특히 근거리에서 음식이나 간단한 물건 촬영들이 상당히 많다보니 사고 후회하는 거 아닌가 생각이 들어서구매결정 해놓고는 선뜻 결제를 못하고 있네요디프 직원 말로는 펌업 하면 된다는데 이정도 차이가 메꿔질지는 잘 모르겠습니다쓰시는 분들 말로도 문제가 있는거 같고사야하나 말아야하나 머리아파요 ,2020.09.23. 14:38
